epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,13267.5,0.69208,0.6381,0.91914,0.89059,0.87016,0.9141,0.68023,0.97013,0.89635,1.09303,0.0001684,0.0001684,0.0001684
86,13379.9,0.70608,0.66418,0.92195,0.8912,0.8831,0.92467,0.69436,0.97013,0.85881,1.09272,0.0001585,0.0001585,0.0001585
87,13495.5,0.64279,0.60191,0.90187,0.90684,0.90521,0.93675,0.70029,0.96956,0.82746,1.08348,0.0001486,0.0001486,0.0001486
88,13604.1,0.69902,0.72528,0.92279,0.87587,0.92468,0.92927,0.69719,0.96088,0.85234,1.07517,0.0001387,0.0001387,0.0001387
89,13733.7,0.67688,0.60937,0.92051,0.9046,0.87436,0.9369,0.70969,0.94714,0.81073,1.07233,0.0001288,0.0001288,0.0001288
90,13868.1,0.63338,0.62408,0.90084,0.89161,0.88047,0.93753,0.71728,0.94467,0.82242,1.07484,0.0001189,0.0001189,0.0001189
91,13978.5,0.6173,0.53626,0.87101,0.90143,0.89458,0.94919,0.72019,0.95521,0.80025,1.08604,0.000109,0.000109,0.000109
92,14085.2,0.60728,0.54622,0.86612,0.92898,0.91833,0.95609,0.71514,0.96384,0.72821,1.08782,9.91e-05,9.91e-05,9.91e-05
93,14194.6,0.60271,0.5079,0.86451,0.92147,0.91114,0.95239,0.71806,0.96744,0.73144,1.08808,8.92e-05,8.92e-05,8.92e-05
94,14302.9,0.57774,0.51167,0.85698,0.90887,0.91058,0.94769,0.72385,0.95435,0.72545,1.08482,7.93e-05,7.93e-05,7.93e-05
95,14414,0.59824,0.52815,0.86237,0.94121,0.88147,0.94629,0.72898,0.93823,0.72444,1.07827,6.94e-05,6.94e-05,6.94e-05
96,14565.7,0.57256,0.51589,0.84329,0.91413,0.90651,0.94785,0.72978,0.93141,0.73875,1.07445,5.95e-05,5.95e-05,5.95e-05
97,14715.2,0.57802,0.51888,0.87428,0.90739,0.91061,0.9447,0.72976,0.92522,0.73874,1.06696,4.96e-05,4.96e-05,4.96e-05
98,14861.2,0.56288,0.51293,0.85505,0.90668,0.92074,0.94499,0.72745,0.92206,0.74208,1.06822,3.97e-05,3.97e-05,3.97e-05
99,15005.2,0.57859,0.4838,0.85692,0.90848,0.92185,0.94716,0.7245,0.92007,0.73259,1.07143,2.98e-05,2.98e-05,2.98e-05
100,15148.7,0.56712,0.48229,0.8635,0.90718,0.92436,0.94814,0.72621,0.92193,0.73234,1.07659,1.99e-05,1.99e-05,1.99e-05
